chroma_stft,chroma_cens,spectral_centroid,spectral_bandwidth,spectral_rolloff,poly_features,rmse,zero_crossing_rate,spectral_flatness,spectral_centroids[0],spectral_centroids_delta,spectral_centroids_accelerate,spectral_bandwidth_2,spectral_bandwidth_3,spectral_bandwidth_4,spectral_flux,tempo_bpm,harmonics,perceptual_shock_wave,genre
0.22918533,0.19339382568962885,1228.5459915310041,1866.3945125836105,2363.186222956731,1.1134866094061233,0.17401777,0.03639197716346154,0.000804792,1228.5459915310041,8.205145136645829,-1.527236430133631,1866.3945125836105,2558.653955607017,3145.9331880750437,1.6352898,161.4990234375,-1.9095134e-05,-0.000110655594,blues
0.23362677,0.2201547600525654,1728.8562079047663,2297.9601948044747,4302.996544471154,1.1339757117393188,0.15906481,0.04797926682692308,0.0010900331,1728.8562079047663,2.546528762593199,-1.185938821481892,2297.9601948044747,2867.040370185151,3352.7562068757547,1.6553495,112.34714673913044,7.425031e-05,7.752217e-06,blues
0.29695222,0.24966752624476654,1383.9996802900837,2144.1638394612496,3464.8580228365386,0.5389928769086847,0.061430722,0.037098106971153844,0.001603834,1383.9996802900837,0.2590727810044757,0.9064421921934335,2144.1638394612496,2775.8735504788283,3328.95253248705,1.0692589,80.74951171875,-1.1033021e-05,-0.0002841501,blues
0.29972416,0.23309255786596852,1884.1554756294422,2040.2930655476669,3864.050480769231,0.8410766903902619,0.089033805,0.0903057391826923,0.0015055854,1884.1554756294422,1.3046011603682788,-0.999426409733536,2040.2930655476669,2537.706702038632,3001.534251928187,1.3696303,215.33203125,6.936959e-06,-3.9601196e-05,blues
0.3336088,0.2502434773474591,1626.1825390789058,2066.0135834012003,3631.0777869591348,0.7158620704724394,0.068844475,0.05905573918269231,0.0018524453,1626.1825390789058,4.562944605015346,1.42361372324698,2066.0135834012003,2609.6247203414005,3112.151502301894,1.3159633,215.33203125,3.916394e-06,-0.00011020473,blues
0.24599075,0.2546958248685689,1520.7532903497322,2270.270901348622,3995.403019831731,0.4404915584442169,0.056129765,0.03985126201923077,0.00172131,1520.7532903497322,-1.1017378158066033,-2.2162327697355577,2270.270901348622,2864.3670723254468,3386.6060245326257,1.0240378,80.74951171875,-0.00019358081,-0.0005757583,blues
0.36955062,0.24692670754727905,1595.894064869138,2275.742914049137,4079.46533203125,0.451749030252858,0.051099982,0.03983999399038462,0.0023535332,1595.894064869138,0.9215380722066103,0.3330646245381803,2275.742914049137,2848.3528091954217,3355.3186415914706,1.0325203,83.35433467741936,-1.6790846e-05,-0.00020082277,blues
0.25296417,0.2599209764872911,1752.147387920349,2097.9267337600527,3902.89306640625,0.6125285287904269,0.06639705,0.07405724158653847,0.0016494399,1752.147387920349,-0.13922493433777888,0.05454823421597826,2097.9267337600527,2622.2574870722556,3109.479116552597,1.210303,184.5703125,-6.5768945e-06,-0.00014084917,blues
0.27823967,0.2656063020616867,1636.508437162753,2079.805954950137,3808.3126126802886,0.6361255011318755,0.065273695,0.06866361177884615,0.0015338482,1636.508437162753,-3.0295247108024688,-1.2129623854361302,2079.805954950137,2625.899057703617,3129.2119046705466,1.3300022,161.4990234375,-2.2944892e-05,-0.00015002814,blues
0.22090867,0.26354365613384406,1217.85155545716,1867.9983825426948,2525.099346454327,0.7608585746917262,0.08953417,0.04139873798076923,0.0006678058,1217.85155545716,4.7209313107137625,-0.7176128554112454,1867.9983825426948,2545.8263288400644,3134.755257924747,1.0594914,86.1328125,2.5305373e-05,-8.387471e-05,blues
